Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2021,13,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,13,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,13,8,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,14,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,14,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,14,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,15,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,15,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,15,10,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,15,10,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,15,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,15,9,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,16,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,16,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,16,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,16,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,16,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,16,8,Navillera,如蝶翩翩,網路漫改,Lee Eun Mi,8.8
2021,16,8,Navillera,如蝶翩翩,網路漫改,Hun,8.8
2021,17,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,17,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,17,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,17,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,17,6,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,17,7,Navillera,如蝶翩翩,網路漫改,Lee Eun Mi,8.8
2021,17,7,Navillera,如蝶翩翩,網路漫改,Hun,8.8
2021,18,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,18,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,18,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,18,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,18,6,Possessed,附身,"犯罪, 奇幻, 驚悚",NA,6.7
2021,18,8,Navillera,如蝶翩翩,網路漫改,Lee Eun Mi,8.8
2021,18,8,Navillera,如蝶翩翩,網路漫改,Hun,8.8
2021,18,9,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,19,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,19,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,19,10,Possessed,附身,"犯罪, 奇幻, 驚悚",NA,6.7
2021,19,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,19,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,19,5,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,19,5,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,20,2,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,20,2,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,20,4,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,20,7,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,20,7,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
