Year,Week,Ranking,TV,movie_zh_name,first_air_date,category,origin_country,original_language
2021,18,2,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,18,3,Beyond Evil,怪物,2021-02-19,"犯罪, 驚悚",KR,ko
2021,18,4,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,18,5,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,18,6,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,18,7,Shadow and Bone,太陽召喚,2021/4/23,,US,en
2021,18,8,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,18,9,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,18,10,Doomed Marriage,Doomed Marriage,2022,脫口秀,KR,ko
2021,19,1,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,19,2,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,19,3,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,19,4,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,19,5,Beyond Evil,怪物,2021-02-19,"犯罪, 驚悚",KR,ko
2021,19,6,Jupiter's Legacy,朱比特傳奇,2021/5/7,,US,en
2021,19,7,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,19,8,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,19,9,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,19,10,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,20,1,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,2021/5/14,家庭,KR,ko
2021,20,2,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,20,3,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,20,4,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,20,5,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,20,6,"Love, Death & Robots",愛 x 死 x 機器人,2019/3/15,,US,en
2021,20,6,"Love, Death & Robots",愛 x 死 x 機器人,NA,,TW,zh
2021,20,7,Beyond Evil,怪物,2021-02-19,"犯罪, 驚悚",KR,ko
2021,20,8,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,20,9,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,20,10,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,21,1,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,21,2,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,21,3,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,2021/5/14,家庭,KR,ko
2021,21,4,Mad for Each Other,不瘋不狂不愛你,2021-05-24,"浪漫, 喜劇",KR,ko
2021,21,5,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,21,6,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,21,7,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,21,8,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,21,9,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,21,10,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,22,1,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,22,2,Mad for Each Other,不瘋不狂不愛你,2021-05-24,"浪漫, 喜劇",KR,ko
2021,22,3,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,22,4,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,22,5,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,22,6,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,2021/5/14,家庭,KR,ko
2021,22,7,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,22,8,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,22,9,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,22,10,Pretty Guardians Sailor Moon Eternal The Movie,NA,2021-06-03,,JP,ja
2021,23,1,Mad for Each Other,不瘋不狂不愛你,2021-05-24,"浪漫, 喜劇",KR,ko
2021,23,2,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,23,3,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,23,4,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,23,5,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,23,6,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,23,7,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,23,8,Sweet Tooth,Sweet Tooth：鹿角男孩,2021/6/4,,US,en
2021,23,9,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,23,10,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,2021/5/14,家庭,KR,ko
2021,24,1,Mad for Each Other,不瘋不狂不愛你,2021-05-24,"浪漫, 喜劇",KR,ko
2021,24,2,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,24,3,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,24,4,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,24,5,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,24,6,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,24,7,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,24,8,Lupin,亞森·羅蘋,2021/1/8,,FR,fr
