Year,Week,Ranking,TV,movie_zh_name,id,category,director,imdb_score
2020,49,1,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,49,7,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2020,49,8,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,50,1,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,50,4,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2020,51,2,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2020,51,3,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,51,8,Sweet Home,甜蜜家園,96648,"網路漫改, 恐怖",lee eung bok,7.3
2020,52,1,Sweet Home,甜蜜家園,96648,"網路漫改, 恐怖",lee eung bok,7.3
2020,52,10,Lovestruck in the City,愛在大都會,113710,"浪漫, 喜劇",jung hyun jung,7.6
2020,52,2,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2020,52,4,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,53,1,Sweet Home,甜蜜家園,96648,"網路漫改, 恐怖",lee eung bok,7.3
2020,53,3,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2020,53,5,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2021,1,1,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,1,10,Run On,奔向愛情,113240,"浪漫, 喜劇",lee jae hoon,7.5
2021,1,2,Sweet Home,甜蜜家園,96648,"網路漫改, 恐怖",lee eung bok,7.3
2021,1,4,Crash Landing on You,愛的迫降,94796,"浪漫, 喜劇",park ji eun,8.7
2021,2,1,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,2,3,Sweet Home,甜蜜家園,96648,"網路漫改, 恐怖",lee eung bok,7.3
2021,2,5,Crash Landing on You,愛的迫降,94796,"浪漫, 喜劇",park ji eun,8.7
2021,2,9,Run On,奔向愛情,113240,"浪漫, 喜劇",lee jae hoon,7.5
2021,3,1,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,3,4,Sweet Home,甜蜜家園,96648,"網路漫改, 恐怖",lee eung bok,7.3
2021,3,6,Run On,奔向愛情,113240,"浪漫, 喜劇",lee jae hoon,7.5
2021,3,8,Crash Landing on You,愛的迫降,94796,"浪漫, 喜劇",park ji eun,8.7
2021,4,1,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,4,7,Run On,奔向愛情,113240,"浪漫, 喜劇",lee jae hoon,7.5
2021,5,1,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,5,4,Run On,奔向愛情,113240,"浪漫, 喜劇",lee jae hoon,7.5
2021,6,1,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,6,4,Run On,奔向愛情,113240,"浪漫, 喜劇",lee jae hoon,7.5
2021,6,8,Kingdom,屍戰朝鮮,70593,"網路漫改, 政治, 時代經典, 驚悚, 恐怖, 冒險動作",kim eun hee,8.3
2021,6,9,Lovestruck in the City,愛在大都會,113710,"浪漫, 喜劇",jung hyun jung,7.6
2021,7,1,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,7,5,Lovestruck in the City,愛在大都會,113710,"浪漫, 喜劇",jung hyun jung,7.6
2021,7,6,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,7,7,Run On,奔向愛情,113240,"浪漫, 喜劇",lee jae hoon,7.5
2021,8,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,8,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,8,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,8,5,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,9,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,9,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,9,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,9,5,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,9,7,The Uncanny Counter,驅魔麵館,113268,"網路漫改, 奇幻, 驚悚",yoo seon dong,8.1
2021,10,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,10,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,10,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,10,5,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,11,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,11,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,11,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,11,5,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,11,7,Love Alarm,喜歡的話請響鈴,89641,"網路漫改, 浪漫, 青少年",yoo bo ra,6.8
2021,12,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,12,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,12,10,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,12,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,12,6,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,13,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,13,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,13,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,13,8,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,14,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,14,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,14,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,15,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,15,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,15,10,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,15,10,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,15,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,15,9,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,16,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,16,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,16,2,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,16,5,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,16,5,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,16,8,Navillera,如蝶翩翩,119464,網路漫改,lee eun mi,8.8
2021,16,8,Navillera,如蝶翩翩,119464,網路漫改,hun,8.8
2021,17,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,17,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,17,5,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,17,5,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,17,6,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,17,7,Navillera,如蝶翩翩,119464,網路漫改,lee eun mi,8.8
2021,17,7,Navillera,如蝶翩翩,119464,網路漫改,hun,8.8
2021,18,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,18,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,18,4,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,18,4,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,18,6,Possessed,附身,86640,"犯罪, 奇幻, 驚悚",choi do hoon,6.7
2021,18,8,Navillera,如蝶翩翩,119464,網路漫改,lee eun mi,8.8
2021,18,8,Navillera,如蝶翩翩,119464,網路漫改,hun,8.8
2021,18,9,Sisyphus,薛西弗斯的神話,113622,"科幻, 驚悚, 冒險動作",jin hyuk,7
2021,19,1,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,19,1,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,19,10,Possessed,附身,86640,"犯罪, 奇幻, 驚悚",choi do hoon,6.7
2021,19,4,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,19,4,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,19,5,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,19,5,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,20,2,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,20,2,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,20,4,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,96571,劇情,yoon ji ryeon,8.6
2021,20,7,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,20,7,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,20,8,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,20,8,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,21,2,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,96571,劇情,yoon ji ryeon,8.6
2021,21,4,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,21,4,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,21,5,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,21,5,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,21,7,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,21,7,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,22,2,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,96571,劇情,yoon ji ryeon,8.6
2021,22,3,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,22,3,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,22,4,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,22,4,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,22,7,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,22,7,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,23,2,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,23,2,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,23,4,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,23,4,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,23,5,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,96571,劇情,yoon ji ryeon,8.6
2021,23,7,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,23,7,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,24,1,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,24,1,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,24,10,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",kim sok yun,8
2021,24,10,Law School,LAW SCHOOL,119773,"懸疑推理, 犯罪, 法庭",seo in,8
2021,24,4,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,24,4,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,24,7,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,96571,劇情,yoon ji ryeon,8.6
2021,24,8,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,24,8,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,25,1,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,25,1,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,25,2,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,25,2,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,25,5,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,25,5,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,25,8,"Nevertheless,",無法抗拒的他,126035,"網路漫改, 浪漫",kim ga ram,7.2
2021,26,1,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,26,1,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,26,10,Racket Boys,羽球少年團,125437,"青少年, 喜劇",jo young gwang,4
2021,26,2,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,26,2,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,26,7,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,26,7,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,26,8,"Nevertheless,",無法抗拒的他,126035,"網路漫改, 浪漫",kim ga ram,7.2
2021,27,2,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,27,2,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,27,4,"Nevertheless,",無法抗拒的他,126035,"網路漫改, 浪漫",kim ga ram,7.2
2021,27,5,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,27,5,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,27,6,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,27,6,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,27,9,Racket Boys,羽球少年團,125437,"青少年, 喜劇",jo young gwang,4
2021,28,10,Mine,我的上流世界,124426,劇情,baek mi kyung,7.7
2021,28,10,Mine,我的上流世界,124426,劇情,lee na jeong,7.7
2021,28,2,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,28,2,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,28,3,"Nevertheless,",無法抗拒的他,126035,"網路漫改, 浪漫",kim ga ram,7.2
2021,28,5,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,28,5,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,28,7,Racket Boys,羽球少年團,125437,"青少年, 喜劇",jo young gwang,4
2021,28,9,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,29,1,"Nevertheless,",無法抗拒的他,126035,"網路漫改, 浪漫",kim ga ram,7.2
2021,29,2,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,29,2,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,29,6,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,29,7,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,29,7,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,29,8,Racket Boys,羽球少年團,125437,"青少年, 喜劇",jo young gwang,4
2021,30,1,"Nevertheless,",無法抗拒的他,126035,"網路漫改, 浪漫",kim ga ram,7.2
2021,30,10,Kingdom,屍戰朝鮮,70593,"網路漫改, 政治, 時代經典, 驚悚, 恐怖, 冒險動作",kim eun hee,8.3
2021,30,2,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,30,2,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,30,5,Racket Boys,羽球少年團,125437,"青少年, 喜劇",jo young gwang,4
2021,30,8,Vincenzo,黑道律師文森佐,117376,社會議題,park jae beom,8.4
2021,30,8,Vincenzo,黑道律師文森佐,117376,社會議題,kim hee won,8.4
2021,30,9,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,31,1,"Nevertheless,",無法抗拒的他,126035,"網路漫改, 浪漫",kim ga ram,7.2
2021,31,10,You Are My Spring,你是我的春天,126698,浪漫,lee mi na,7.4
2021,31,2,What's Wrong with Secretary Kim,金秘書為何那樣,79434,"網路漫改, 浪漫, 喜劇, 書籍改編",park joon hwa,8.1
2021,31,3,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2021,31,3,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2021,31,5,Love (ft. Marriage and Divorce),婚詞離曲,116041,劇情,im sung han,6.6
2021,31,7,Lawless Lawyer,武法律師,78796,"犯罪, 法庭, 驚悚",kim jin min,7.6
2021,31,8,Racket Boys,羽球少年團,125437,"青少年, 喜劇",jo young gwang,4
