Year,Week,Ranking,TV,movie_zh_name,first_air_date,genre_ids,category,id,origin_country,original_language,overview,imdb_score,popularity,vote_average,vote_count
2020,35,4,The Great Pretender,NA,2007/11/5,NA,,29969,GB,en,NA,,0.688,0,0
2020,35,5,Lucifer,魔鬼神探,2016/1/25,"80, 10765",,63174,US,en,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals.But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,831.69,8.5,11770
2020,35,6,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,35,7,The Umbrella Academy,雨傘學院,2019/2/15,"10759, 10765, 18",,75006,US,en,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",,171.834,8.7,7712
2020,35,8,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,35,9,Hospital Playlist,機智醫生生活,2020/3/12,"18, 35",醫療,96102,KR,ko,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",8.8,40.992,9,49
2020,36,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,36,10,Hospital Playlist,機智醫生生活,2020/3/12,"18, 35",醫療,96102,KR,ko,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",8.8,40.992,9,49
2020,36,2,Was It Love?,我們，愛過嗎？,2020/7/8,"35, 18","浪漫, 喜劇",96161,KR,ko,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her lifean author, an actor, a CEO, and a younger manwho might just revive her dormant desire for love.",7.1,4.888,8.3,8
2020,36,3,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,36,4,The Great Pretender,NA,2007/11/5,NA,,29969,GB,en,NA,,0.688,0,0
2020,36,5,Lucifer,魔鬼神探,2016/1/25,"80, 10765",,63174,US,en,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals.But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,831.69,8.5,11770
2020,36,6,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,36,7,The Umbrella Academy,雨傘學院,2019/2/15,"10759, 10765, 18",,75006,US,en,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",,171.834,8.7,7712
2020,36,8,"Bofuri: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",怕痛的我，把防禦力點滿就對了,2020/1/8,"16,10759,10765,35",,96402,JP,ja,"Honjou Kaede is invited by her friend Shiramine Risa to play a virtual reality MMO game with her. While Kaede doesn't dislike games, what she really, truly dislikes is being in pain. She creates a character named Maple, and decides to put all her points in VIT to minimize pain. As a result, she moves slowly, can't use magic, and even a rabbit can get the best of her. But as it turns out, she acquires a skill known as \""Absolute Defense\"" as a result of her pumping points into VIT, as well as a \""Counter Skill\"" that works against special moves. Now, with her ability to nullify all damage, she goes on adventures.",,25.241,7.5,47
2020,36,9,Goedam,韓國都市怪談,2020/8/20,9648,恐怖,107851,KR,ko,"When night falls on this city, shadows and spirits come alive in this horror anthology series focused on urban legends.",5.7,5.328,7.5,42
2020,37,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,37,10,Hospital Playlist,機智醫生生活,2020/3/12,"18, 35",醫療,96102,KR,ko,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",8.8,40.992,9,49
2020,37,2,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,37,3,Was It Love?,我們，愛過嗎？,2020/7/8,"35, 18","浪漫, 喜劇",96161,KR,ko,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her lifean author, an actor, a CEO, and a younger manwho might just revive her dormant desire for love.",7.1,4.888,8.3,8
2020,37,4,Record of Youth,青春紀錄,2020/9/7,18,浪漫,99047,KR,ko,"In a cutthroat world where the life youre born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",7.3,31.973,8.4,135
2020,37,5,The Great Pretender,NA,2007/11/5,NA,,29969,GB,en,NA,,0.688,0,0
2020,37,6,Away,遠漂,2020/9/4,"10765, 18",,89233,US,en,"American astronaut Emma Green must leave her husband and teenage daughter behind to command an international space crew embarking upon a treacherous mission. A series about hope, humanity and how we need one another if we are to achieve impossible things.",,29.387,6.9,226
2020,37,7,"Bofuri: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",怕痛的我，把防禦力點滿就對了,2020/1/8,"16,10759,10765,35",,96402,JP,ja,"Honjou Kaede is invited by her friend Shiramine Risa to play a virtual reality MMO game with her. While Kaede doesn't dislike games, what she really, truly dislikes is being in pain. She creates a character named Maple, and decides to put all her points in VIT to minimize pain. As a result, she moves slowly, can't use magic, and even a rabbit can get the best of her. But as it turns out, she acquires a skill known as \""Absolute Defense\"" as a result of her pumping points into VIT, as well as a \""Counter Skill\"" that works against special moves. Now, with her ability to nullify all damage, she goes on adventures.",,25.241,7.5,47
2020,37,8,Lucifer,魔鬼神探,2016/1/25,"80, 10765",,63174,US,en,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals.But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,831.69,8.5,11770
2020,37,9,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,38,1,Record of Youth,青春紀錄,2020/9/7,18,浪漫,99047,KR,ko,"In a cutthroat world where the life youre born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",7.3,31.973,8.4,135
2020,38,10,Crash Landing on You,愛的迫降,2019/12/14,"18, 35","浪漫, 喜劇",94796,KR,ko,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",8.7,62.23,8.8,284
2020,38,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,38,3,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,38,4,Was It Love?,我們，愛過嗎？,2020/7/8,"35, 18","浪漫, 喜劇",96161,KR,ko,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her lifean author, an actor, a CEO, and a younger manwho might just revive her dormant desire for love.",7.1,4.888,8.3,8
2020,38,5,The Great Pretender,NA,2007/11/5,NA,,29969,GB,en,NA,,0.688,0,0
2020,38,6,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,38,7,Lucifer,魔鬼神探,2016/1/25,"80, 10765",,63174,US,en,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals.But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,831.69,8.5,11770
2020,38,8,Dragon's Dogma,龍族教義,2020/9/17,"16, 10759, 10765",,99769,JP,ja,"Ethan sets out to vanquish the Dragon that took his heart, but with every demon he battles, the more he loses his humanity.",,7.308,7.2,133
2020,38,9,Away,遠漂,2020/9/4,"10765, 18",,89233,US,en,"American astronaut Emma Green must leave her husband and teenage daughter behind to command an international space crew embarking upon a treacherous mission. A series about hope, humanity and how we need one another if we are to achieve impossible things.",,29.387,6.9,226
2020,39,1,Record of Youth,青春紀錄,2020/9/7,18,浪漫,99047,KR,ko,"In a cutthroat world where the life youre born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",7.3,31.973,8.4,135
2020,39,10,The School Nurse Files,非常校護檔案,2020/9/25,10765,"奇幻, 書籍改編",87313,KR,ko,"Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.",6.4,9.965,7.8,89
2020,39,2,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,39,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,39,4,Go Ahead,以家人之名,2020/8/10,"18, 10751",,107329,CN,zh,"Growing up in dysfunctional households, three individuals who are unrelated by blood treat each other like family as they yearn for the love that they cannot find at home. Eldest brother Ling Xiao, second brother He Ziqiu, and youngest sister Li Jianjian grow up together, experiencing lifes joy and strife as they support each others chosen paths. As Ling Xiao and He Ziqiu graduate from high school, they return to their original families. Five years later, the three are reunited, but the heartaches from their complicated family past becomes a shadow that constantly lingers. Can they finally fix their personal issues to become better versions of themselves?",,31.861,8.6,105
2020,39,5,Ratched,拉契特：黯衣天使,2020/9/18,"9648, 18, 80",,81354,US,en,"An origins story, beginning in 1947, which follows Ratched's journey and evolution from nurse to full-fledged monster tracking her murderous progression through the mental health care system.",,81.245,7.8,851
2020,39,6,Dragon's Dogma,龍族教義,2020/9/17,"16, 10759, 10765",,99769,JP,ja,"Ethan sets out to vanquish the Dragon that took his heart, but with every demon he battles, the more he loses his humanity.",,7.308,7.2,133
2020,39,7,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,39,8,Was It Love?,我們，愛過嗎？,2020/7/8,"35, 18","浪漫, 喜劇",96161,KR,ko,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her lifean author, an actor, a CEO, and a younger manwho might just revive her dormant desire for love.",7.1,4.888,8.3,8
2020,39,9,Lucifer,魔鬼神探,2016/1/25,"80, 10765",,63174,US,en,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals.But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,831.69,8.5,11770
2020,40,1,Go Ahead,以家人之名,2020/8/10,"18, 10751",,107329,CN,zh,"Growing up in dysfunctional households, three individuals who are unrelated by blood treat each other like family as they yearn for the love that they cannot find at home. Eldest brother Ling Xiao, second brother He Ziqiu, and youngest sister Li Jianjian grow up together, experiencing lifes joy and strife as they support each others chosen paths. As Ling Xiao and He Ziqiu graduate from high school, they return to their original families. Five years later, the three are reunited, but the heartaches from their complicated family past becomes a shadow that constantly lingers. Can they finally fix their personal issues to become better versions of themselves?",,31.861,8.6,105
2020,40,10,SKY Castle,天空之城,2018/11/23,"35, 18",喜劇,84327,KR,ko,"The drama revolves around the lives of housewives living in a luxurious residential area called SKY Castle in suburban Seoul, where wealthy doctors and professors live. The wives are determined to make their husbands more successful and to raise their children like princes and princesses and to be top students.",8.6,16.815,8.3,25
2020,40,2,Record of Youth,青春紀錄,2020/9/7,18,浪漫,99047,KR,ko,"In a cutthroat world where the life youre born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",7.3,31.973,8.4,135
2020,40,3,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,40,4,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,40,5,The School Nurse Files,非常校護檔案,2020/9/25,10765,"奇幻, 書籍改編",87313,KR,ko,"Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.",6.4,9.965,7.8,89
2020,40,6,The Mirror,鏡子森林,2019/12/1,18,,96726,TW,zh,"In the face of collusion between officials and businessmen and threats and temptations, journalists from ""Firewire News"" try to uphold justice, stick to their ideals, and write the most authentic and most emotional news reports.",,1.859,10,1
2020,40,7,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,40,8,Ratched,拉契特：黯衣天使,2020/9/18,"9648, 18, 80",,81354,US,en,"An origins story, beginning in 1947, which follows Ratched's journey and evolution from nurse to full-fledged monster tracking her murderous progression through the mental health care system.",,81.245,7.8,851
2020,40,9,Emily in Paris,艾蜜莉在巴黎,2020/10/2,"18, 35",,82596,US,en,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",,69.259,8,794
2020,41,1,Emily in Paris,艾蜜莉在巴黎,2020/10/2,"18, 35",,82596,US,en,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",,69.259,8,794
2020,41,10,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,2020/10/7,"35, 18","浪漫, 喜劇",106465,KR,ko,"A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.",7.3,4.609,7.8,8
2020,41,2,Go Ahead,以家人之名,2020/8/10,"18, 10751",,107329,CN,zh,"Growing up in dysfunctional households, three individuals who are unrelated by blood treat each other like family as they yearn for the love that they cannot find at home. Eldest brother Ling Xiao, second brother He Ziqiu, and youngest sister Li Jianjian grow up together, experiencing lifes joy and strife as they support each others chosen paths. As Ling Xiao and He Ziqiu graduate from high school, they return to their original families. Five years later, the three are reunited, but the heartaches from their complicated family past becomes a shadow that constantly lingers. Can they finally fix their personal issues to become better versions of themselves?",,31.861,8.6,105
2020,41,3,Record of Youth,青春紀錄,2020/9/7,18,浪漫,99047,KR,ko,"In a cutthroat world where the life youre born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",7.3,31.973,8.4,135
2020,41,4,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,41,5,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,41,6,The Mirror,鏡子森林,2019/12/1,18,,96726,TW,zh,"In the face of collusion between officials and businessmen and threats and temptations, journalists from ""Firewire News"" try to uphold justice, stick to their ideals, and write the most authentic and most emotional news reports.",,1.859,10,1
2020,41,7,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,41,8,SKY Castle,天空之城,2018/11/23,"35, 18",喜劇,84327,KR,ko,"The drama revolves around the lives of housewives living in a luxurious residential area called SKY Castle in suburban Seoul, where wealthy doctors and professors live. The wives are determined to make their husbands more successful and to raise their children like princes and princesses and to be top students.",8.6,16.815,8.3,25
2020,41,9,Private Lives,私生活,2020/10/7,"10759, 35, 80, 9648, 18",驚悚,107442,KR,ko,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.",6.5,18.431,6.4,9
2020,42,1,Emily in Paris,艾蜜莉在巴黎,2020/10/2,"18, 35",,82596,US,en,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",,69.259,8,794
2020,42,10,The Mirror,鏡子森林,2019/12/1,18,,96726,TW,zh,"In the face of collusion between officials and businessmen and threats and temptations, journalists from ""Firewire News"" try to uphold justice, stick to their ideals, and write the most authentic and most emotional news reports.",,1.859,10,1
2020,42,2,Record of Youth,青春紀錄,2020/9/7,18,浪漫,99047,KR,ko,"In a cutthroat world where the life youre born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",7.3,31.973,8.4,135
2020,42,3,Go Ahead,以家人之名,2020/8/10,"18, 10751",,107329,CN,zh,"Growing up in dysfunctional households, three individuals who are unrelated by blood treat each other like family as they yearn for the love that they cannot find at home. Eldest brother Ling Xiao, second brother He Ziqiu, and youngest sister Li Jianjian grow up together, experiencing lifes joy and strife as they support each others chosen paths. As Ling Xiao and He Ziqiu graduate from high school, they return to their original families. Five years later, the three are reunited, but the heartaches from their complicated family past becomes a shadow that constantly lingers. Can they finally fix their personal issues to become better versions of themselves?",,31.861,8.6,105
2020,42,4,The Haunting of Bly Manor,鬼莊園,2020/10/9,"9648, 18",,109958,US,en,"After an au pairs tragic death, Henry Wingrave hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the estates chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose. But all is not as it seems at the manor, and centuries of dark secrets of love and loss are waiting to be unearthed in this chilling tale.",,41.121,7.8,615
2020,42,5,Private Lives,私生活,2020/10/7,"10759, 35, 80, 9648, 18",驚悚,107442,KR,ko,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.",6.5,18.431,6.4,9
2020,42,6,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
